"puesto","empresa","nivel","area","fecha","detalle","dpto","fecha_scraping"
"OPERADOR PARA CONTACT CENTER","PROSEGUR","Auxiliar","Teleoperadores - Call Center","Hace 3 semanas "," Requisitos:  contar con ciclo básico completo, buen manejo de Excel, disponibilidad horaria para trabajar de 15:00 a 23:00 y ser mayor de 21 años  PRI ...","montevideo",2018-12-11 20:23:07
"SUB-DIRECTOR EDUCACIÓN MEDIA","Importante Empresa","Jefe","Educación - Recreación - Deportes","Hace 3 semanas "," Orientamos nuestra búsqueda a egresados en Formación Docente y/o Profesionales Universitarios con sólida experiencia en gestión de instituciones educativa ...","montevideo",2018-12-11 20:23:07
"COORDINADOR/A PARA EDUCACIÓN PRIMARIA","Importante Empresa","Supervisor / Encargado","Educación - Recreación - Deportes","Hace 3 semanas ","Auren Capital Humano Selecciona para ESCUELA Y LICEO ELBIO FERNÁNDEZ  COORDINADOR/A PARA EDUCACIÓN PRIMARIA Orientamos nuestra búsqueda a Maestros y/o Doc ...","montevideo",2018-12-11 20:23:07
"ACOMPAÑANTE DE REPARTO C/ LIBRETA PROFESIONAL CAMIÓN","Importante empresa","Peon","Producción","Hace 3 semanas ","Buscamos un acompañante de Reparto para Empresa del Rubro Alimentos con experiencia (excluyente) en manejo de camión (Categoría C o D), para realizar tarea ...","montevideo",2018-12-11 20:23:07
"GUARDIAS ARMADOS. ZONA PRADO","SECURITAS","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas "," Para servicios de primer nivel en las siguientes zonas:    Cerro - Aguada - Malvín - Prado - Cordón - Jacinto Vera   Requisitos: Entre 25 y 59 años, b ...","montevideo",2018-12-11 20:23:07
"GUARDIAS ARMADOS. ZONA CERRO","SECURITAS","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas "," Para servicios de primer nivel en las siguientes zonas:    Cerro - Aguada - Malvín - Prado - Cordón - Jacinto Vera   Requisitos: Entre 25 y 59 años, b ...","montevideo",2018-12-11 20:23:07
"GUARDIAS ARMADOS. ZONA CORDÓN","SECURITAS","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas "," Para servicios de primer nivel en las siguientes zonas:    Cerro - Aguada - Malvín - Prado - Cordón - Jacinto Vera   Requisitos: Entre 25 y 59 años, b ...","montevideo",2018-12-11 20:23:07
"GUARDIAS ARMADOS. ZONA AGUADA","SECURITAS","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas "," Para servicios de primer nivel en las siguientes zonas:    Cerro - Aguada - Malvín - Prado - Cordón - Jacinto Vera   Requisitos: Entre 25 y 59 años, b ...","montevideo",2018-12-11 20:23:07
"GUARDIAS ARMADOS. ZONA MALVÍN","SECURITAS","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas "," Para servicios de primer nivel en las siguientes zonas:    Cerro - Aguada - Malvín - Prado - Cordón - Jacinto Vera   Requisitos: Entre 25 y 59 años, b ...","montevideo",2018-12-11 20:23:07
"GUARDIAS ARMADOS. ZONA JACINTO VERA","SECURITAS","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas "," Para servicios de primer nivel en las siguientes zonas:    Cerro - Aguada - Malvín - Prado - Cordón - Jacinto Vera   Requisitos: Entre 25 y 59 años, b ...","montevideo",2018-12-11 20:23:07
"VENTAS","CAP ","Auxiliar","Ventas - Comercial","Hace 3 semanas ","Buena atención al publico, mantenimiento de la tienda. Puntualidad, manejo de mercadería.","montevideo",2018-12-11 20:23:07
"ANALISTA JAVA SENIOR","MEVIR","Analista","Tecnologías de la información","Hace 3 semanas ","La búsqueda se orienta a Egresados o próximos a recibirse de las Carreras de Ingeniero de Sistemas,  Licenciado o Analista. Se requiere poseer experiencia  ...","montevideo",2018-12-11 20:23:07
"ENFERMERA PARA DEPARTAMENTO MEDICO DE ESTETICA","PRESTIGIOSA  CLINICA MEDICA","Técnico / Especialista","Salud","Hace 3 semanas "," Clinica Medica solicita Enfermera para su Departamento Medico de Estética  Requisitos: - Edad entre 30 y 45 años - Buena Presencia  Horario Lunes a  ...","montevideo",2018-12-11 20:23:07
"ARMADO DE PEDIDOS","chacra bilu","Peon","Producción","Hace 3 semanas ","importante distribuidora de Frutas y Hortalizas  busca armadores de Pedidos para los mas importantes restaurantes, hoteles y cadenas en montevideano  Excel ...","montevideo",2018-12-11 20:23:07
"VENDEDOR PARA LOCAL COMERCIAL","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Vendedor/a para local comercial Atención personal y telefónica Persona pro activa y que pueda integrar un buen ambiente labora. Poder brindar el mejor serv ...","montevideo",2018-12-11 20:23:07
"DEPILADORA SISTEMA ESPAÑOL","empresa selecciona","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","Buscamos especialistas en depilación método sistema español únicamente con experiencia  , detallistas , con buena presencia y disponibilidad para trabajar  ...","montevideo",2018-12-11 20:23:07
"RECEPCIONISTA","Depilaif","Auxiliar","Administración - Secretariado","Hace 2 semanas "," Selecciona.  Recepcionista.  Requisitos:  Experiencia en ventas y caja .  Nociones de administración  Buena presencia. 24 a 32 años.  Disponibilidad ...","montevideo",2018-12-11 20:23:07
"CHOFER PARA AUTOELEVADOR","Empresa","Peon","Servicios - Oficios","Hace 2 semanas "," Con experiencia excluyente y libreta y carné de salud al día.","montevideo",2018-12-11 20:23:07
"AUXILIAR ADMINISTRATIVO PARA ESTUDIO CONTABLE","Importante empresa","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 2 semanas ","La persona que se contrate se encargará de registran en Memory Conty la documentación de distintos tipos de empresas. También deberá contabilizar pago de B ...","montevideo",2018-12-11 20:23:07
"CHÓFER PARA CAMIÓN Y ATENCION AL PUBLICO","Importante empresa","Peon","Servicios - Oficios","Hace 2 semanas ","Manejo de camiones, atención al publico, y tareas varias  Manejo de camiones, atención al publico, y tareas varias","montevideo",2018-12-11 20:23:07
"AYUDANTE DE CARNICERÍA - ZONA CASAVALLE","SUPERMERCADO BAMBÚ","Auxiliar","Servicios - Oficios","Hace 2 semanas ","Ayudante de carnicería para supermercado Buscamos una persona proactiva, con experiencia y buena presencia.","montevideo",2018-12-11 20:23:07
"FIAMBRERA/ O - ZONA CASAVALLE","SUPERMERCADO BAMBÚ","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","FIAMBRERA/O PARA SUPERMERCADO Buscamos una persona proactiva, con experiencia y buena presencia.","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVO","Empresa","Auxiliar","Administración - Secretariado","Hace 2 semanas "," Tareas a cumplir: -Facturación, cuentas corrientes. -Atención al cliente -Gestión telefónica cobranza. -Buen manejo de PC. Responsable, ordenado, bue ...","montevideo",2018-12-11 20:23:07
"MOZO","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","todo lo referente al salon atencion al publico inerentes a su puesto","montevideo",2018-12-11 20:23:07
"VENDEDOR/A UNIFORMES Y ROPA TRABAJO","GANDYTEX","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","vendedor/a amplia experiencia venta uniformes y ropa de trabajo solo se tomaran en cuenta curriculos  con reconocida  probada experiencia en ventas y atenc ...","montevideo",2018-12-11 20:23:07
"CAPTACIÓN DE DONACIONES / CALL CENTER","Synapsis","Auxiliar","Teleoperadores - Call Center","Hace 3 semanas ","Buscamos personas con VOCACIÓN DE SERVICIO para lograr la retención de SOCIOS para importante institución con impacto mundial. PERFIL: • Experiencia en v ...","montevideo",2018-12-11 20:23:07
"CAPATAZ DE PLANTA","WERBA S.A","Supervisor / Encargado","Producción","Hace 3 semanas ","Gestionar los procesos de clasificación y reciclaje de metales no ferrosos Coordinar y controlar el ingreso y salida de material Gestionar las operaciones  ...","montevideo",2018-12-11 20:23:07
"MECÁNICO INDUSTRIAL REF. 111802","STILER","Técnico / Especialista","Producción","Hace 3 semanas "," Requisitos:  Egresado de UTU Experiencia comprobable en mantenimiento de maquinaria de construcción Libreta de chofer B  Curriculum con referencias  ...","montevideo",2018-12-11 20:23:07
"MOZA CON EXPERIENCIA EXCLUYENTE HASTA 30 AÑOS","Salmuera","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","PUNTUALIDAD BUENA PRESENCIA INGLES INCORPORACIÓN INMEDIATA PREFERENTEMENTE QUE VIVA EN LA ZONA HASTA 30 AÑOS EXPERIENCIA EXCLUYENTE Y COMPROBABLE BUEN TRAT ...","montevideo",2018-12-11 20:23:07
"INGENIERO DE SUPPLY CHAIN","Para Importante laboratorio farmacéutico","Profesional","Producción","Hace 3 semanas ","Buscamos Orientamos nuestra búsqueda a egresados de Ingeniería Industrial, Ingeniería Química, Ingeniería de Alimentos y/o Ingeniería de Producción, siend ...","montevideo",2018-12-11 20:23:07
"PERSONAL PARA MERCHANDISING","Bettasul S.A.","Auxiliar","Ventas - Comercial","Hace 3 semanas ","Preferente con moto Con experiencia y disponibilidad horaria entre 18 a 25 años .","montevideo",2018-12-11 20:23:07
"ENCARGADO","Local céntrico ABITAB","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas "," REQUISITOS: Excluyente -Manejo de SAO  -Mín. 2 años en cargo similar Edad a partir de 28 años TAREAS: Proponer estrategias comerciales y tareas  in ...","montevideo",2018-12-11 20:23:07
"GRUISTA","Empresa","Técnico / Especialista","Producción","Hace 3 semanas "," EMPRESA NAVAL selecciona para trabajos eventuales: GRUISTA Requisitos: *Tener exámen psicofisico como gruista al dia. *Libreta para manejar autoelevad ...","montevideo",2018-12-11 20:23:07
"GRUISTA","Empresa naval","Técnico / Especialista","Producción","Hace 3 semanas "," EMPRESA NAVAL selecciona para trabajos eventuales: GRUISTA Requisitos: *Tener exámen psicofisico como gruista al dia. *Libreta para manejar autoelevad ...","montevideo",2018-12-11 20:23:07
"COCINERO","Importante empresa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Ensaladas plancha trabajo con pescados y mariscos ,pastas caseras ,etc Responsabilidad referente a su cargo","montevideo",2018-12-11 20:23:07
"LAVANDIN PARA COCINA","Burlesque ","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","LAVANDIN PARA COCINA HORARIO TARDE-NOCHE,ZONZ POCITOS-BUCEO. LAVANDIN PARA COCINA HORARIO TARDE-NOCHE,ZONZ POCITOS-BUCEO.","montevideo",2018-12-11 20:23:07
"SELECCIONA PARA IMPORTANTE INSTITUCIÓN DE SALUD  TÉCNICO DE INFRAESTRUCTURA TECNICO","GENTE","Técnico / Especialista","Tecnologías de la información","Hace 2 semanas "," SELECCIONA PARA IMPORTANTE INSTITUCIÓN DE SALUD  TÉCNICO DE INFRAESTRUCTURA Se llama a aspirantes a proveer cargos de Técnico de Infraestructura para el ...","montevideo",2018-12-11 20:23:07
"RUNER","Burlesque ","Auxiliar","Producción","Hace 2 semanas ","RUNER PARA RESTAURANT,ZONA POCITOS-BUCEO,HORARIO TARDE-NOCHE,FIJO-NO ZAFRAL,EDAD 20 A 25. RUNER PARA RESTAURANT,ZONA POCITOS-BUCEO,HORARIO TARDE-NOCHE,FIJO ...","montevideo",2018-12-11 20:23:07
"ESTUDIANTES, VENTAS, REDES Y CONTROL DE STOCK","Importante Empresa","Auxiliar","Atención al cliente","Hace 2 semanas ","Atenderá al público en el Show Room personalmente, vía telefónica y por Internet a través de diferentes redes sociales y sitio web.  Se desempeñará en el á ...","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVO ZLIBRA","","Auxiliar","Administración - Secretariado","Hace 2 semanas ","Imprescindible tener conocimientos del programa  de gestión ZLIBRA. Colaborará en la puesta a punto del programa e ingreso de documentos. ""No se tendrá en  ...","montevideo",2018-12-11 20:23:07
"EJECUTIVO COMERCIAL","Empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","- Definido perfil comercial -Habilidades y experiencia ennegociacióndinámica proactiva,  -Ambos sexos,  -Se valora estudiosen marketing comunicación adm ...","montevideo",2018-12-11 20:23:07
"EJECUTIVO COMERCIAL","Empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas "," EJECUTIVO/A COMERCIAL  Oportunidad para una persona apas ionada por las ventas - Definido perfil comercial -Habilidades y experiencia ennego ciaciónd ...","montevideo",2018-12-11 20:23:07
"JEFE DE OBRA","Importante empresa Costructora","Jefe","Construcción - Arquitectura","Hace 2 semanas ","Ingeniero y/o arquitecto con experiencia no menor a 5 años en obras de gran porte. Se requiere conocimientos y experiencia en:  •	Gestión económica de proy ...","montevideo",2018-12-11 20:23:07
"TÉCNICO EN REFRIGERACIÓN O AFINES","Importante Heladeria","Técnico / Especialista","Servicios - Oficios","Hace 2 semanas "," Con experiencia Mínima 1 años en mantenimiento preventivo y correctivo de sistemas de refrigeración de heladeras, vitrinas de helados y congeladores. Con  ...","montevideo",2018-12-11 20:23:07
"PROFESOR","Importante  Colegio","Profesional","Educación - Recreación - Deportes","Hace 2 semanas "," Profesor","montevideo",2018-12-11 20:23:07
"NEGOCIO PROPIO","GANE LO QUE MERECES","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","ESTAMOS BUSCANDO PERSONAS EMPRENDEDORAS QUE ESTÉN INSATISFECHAS CON SUS INGRESOS ACTUALES Y QUE QUIERAN DESARROLLAR UN NEGOCIO INDEPENDIENTE SIN HORARIOS F ...","montevideo",2018-12-11 20:23:07
"CAJERO/A","ESTACION DE SERVICIO","Auxiliar","Ventas - Comercial","Hace 2 semanas ","CAJERO Para mini y pista Estación de Servicio Mayor de 30 años","montevideo",2018-12-11 20:23:07
"VENDEDOR TELEMARKETER","ZONA CENTER","Auxiliar","Teleoperadores - Call Center","Hace 2 semanas ","Importante Empresa de Ventas, Selecciona Vendedores ambos sexos en el área de TELEMARKETING : Trabajamos con las empresas mas reconocidas en plaza . Los ca ...","montevideo",2018-12-11 20:23:07
"NETWORKER DE REDES DE MERCADEO","ANDREA SOCA","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","EMPRESA INTERNACIONAL SOLICITA SOCIO CON CAPACIDAD DE LIDERAZGO, AMABLE Y CON ALTO SENTIDO DE RESPONSABILIDAD. INVERSIÓN MÍNIMA. NO ES EMPLEO RESPONSABLE Q ...","montevideo",2018-12-11 20:23:07
"SUB JEFE DE COCINA","FUNDACION JARDIN MATERNAL ASISTENCIAL DEL MEF","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","- Trabajar en conjunto con el Jefe de Cocina de quien depende jerárquicamente. - Brindar apoyo en la tarea todos los integrantes del equipo en los momentos ...","montevideo",2018-12-11 20:23:07
"PEÓN DE COCINA","FUNDACION JARDIN MATERNAL ASISTENCIAL DEL MEF","Peon","Servicios - Oficios","Hace 2 semanas ","- Realizará tareas de limpieza, aseo de cocina y salón comedor. - Colaborar en tareas afines a la preparación básica de alimentos. Puntualidad, buena dispo ...","montevideo",2018-12-11 20:23:07
"DIRECTOR DE OBRA","Ciemsa","Jefe","Construcción - Arquitectura","Hace 2 semanas "," Certificación PMP   Principales tareas   Dirigir las obras a su cargo,  asegurando el cumplimiento de presupuesto, plazo, calidad y seguridad Relacio ...","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVO DE OBRA","Ciemsa","Asistente","Administración - Secretariado","Hace 2 semanas "," Para su equipo de Construcción  Requisitos Estudiante de CCEE, Bachillerato técnico en Adm. o similar Manejo avanzado de Microsoft Office    Princip ...","montevideo",2018-12-11 20:23:07
"SUSHIMAN","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","Reconocida empresa gastronómica, especializada en pescados y mariscos, selecciona SUSHIMAN con experiencia comprobable en puesto similar para local en Punt ...","montevideo",2018-12-11 20:23:07
"OFICIAL HERRERO","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 2 semanas ","Empres Industrial busca oficial o medio oficial herrero para trabajo a termino. La persona dará apoyo especifico en tareas de herrería y montaje programado ...","montevideo",2018-12-11 20:23:07
"TÉCNICOAS Y MÉDIOCAS PARA TRATAMENTO ESTÉTICO","Empresa","Profesional","Salud","Hace 2 semanas "," DEPILIFE Logo   Selecciona:  TÉCNICAS Y MÉDICAS PARA TRATAMIENTO ESTÉTICO  -Estudiante o egresada de Cosmet ologÍa Médica, o simil ar. (Técnica)  ...","montevideo",2018-12-11 20:23:07
"LIMPIEZA EN TIENDA","Importante empresa","Auxiliar","Servicios - Oficios","Hace 2 semanas ","Buscamos persona para tareas de limpieza en tienda comercial ubicada en barrio Goes.  Pisos, vereda, salón con mercadería frágil, baños, cocina, oficinas,  ...","montevideo",2018-12-11 20:23:07
"TÉCNICO EN REFRIGERACIÓN E INSTALACIÓN DE AIRES ACONDICIONADOS","Matonte servicio técnico","Técnico / Especialista","Producción","Hace 2 semanas ","- Realizar visitas a clientes y diagnósticos según fallas encontradas - Instalación y mantenimiento de aires acondicionados  - Instalación y mantenimiento  ...","montevideo",2018-12-11 20:23:07
"INGRESOS EXTRA PARA SUMAR A TU SUELDO ACTUAL","","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Comienza tu propio NEGOCIO  independiente en la industria del bienestar. (No es empleo) Buscamos personas EMPRENDEDORAS con actitud y ganas, que quieran ge ...","montevideo",2018-12-11 20:23:07
"VENDEDOR PARA DISTRIBUIDORA DE FRUTAS Y VERDURAS","Distribuidor de frutas y verduras","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","En una empresa consolidada en Mercado Modelo que apunta a comercios pequeños y medianos, tiene como funciones principales la generación de nuevos clientes  ...","montevideo",2018-12-11 20:23:07
"AUXILIAR DE VENTAS CON EXPERIENCIA EXCLUYENTE","Ferreteria Ferreservi","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Atención al cliente. Ventas telefónicas y en mostrador. Mantener actualizado mercado libre y  página web. Atención a clientes de distribución. Ingreso de p ...","montevideo",2018-12-11 20:23:07
"AUXILIAR TÉCNICO ELECTROMECÁNICA","Ferreteria Ferreservi","Técnico / Especialista","Producción","Hace 2 semanas ","Estudiantes de carreras de Electromecánica o afines (UTU, COCAP o similar) Primer año aprobado. Experiencia previa no menor a 2 años en tareas afines al ma ...","montevideo",2018-12-11 20:23:07
"BRUSHINISTA Y MANICURA","Centro Estético","Auxiliar","Servicios - Oficios","Hace 2 semanas ","Se encargará de realizar lavados, brushing y manos. Deberá cumplir correctamente con las funciones preestablecidas del cargo, manteniendo el orden y la lim ...","montevideo",2018-12-11 20:23:07
"CHEFF","Cocina","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","BUSCAMOS UNA PERSONA RESPONSABLE, ÁGIL, DETALLISTA, PUNTUAL, BUEN NIVEL CULTURAL, EXCELENTE PRESENCIA Y DICCIÓN. EXPERIENCIA EN MENÚ Y CATERING. A PARTE DE ...","montevideo",2018-12-11 20:23:07
"MAQUINISTA PARA PRENDAS DE CUERO LANAR","Importante empresa","Oficial","Producción","Hace 2 semanas ","MAQUINISTA DE PRENDAS DE CUERO LANAR CON LANA (NAPALAN), CON EXPERIENCIA,  SOLICITA EMPRESA EXPORTADORA. CONFECCIONAR LAS PRENDAS YA CORTADAS Y PREPARADAS  ...","montevideo",2018-12-11 20:23:07
"VENDEDOR","IMPORTANTE EMPRESA","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas "," Experiente. Atienda súper y otros. Que esté hoy activo, que desee mejorar su sueldo y con viáticos. Alimentos especiales. No presentarse sin tener conocim ...","montevideo",2018-12-11 20:23:07
"ENCARGADO DE LABORATORIO DE CONTROL DE CALIDAD","IMPORTANTE LABORATORIO","Supervisor / Encargado","Producción","Hace 2 semanas "," Planta de Elaboración de Productos biológicos/ Biotecnológicos  Experiencia en la realización y  supervisión de ensayos biológicos fisicoquímicos y micr ...","montevideo",2018-12-11 20:23:07
"ANALISTA DE SISTEMAS/DESARROLLO","PASSCARD","Analista","Tecnologías de la información","Hace 2 semanas ","DESCRIPCIÓN: Realizará Análisis de requerimientos funcionales, diseño y especificación en ambientes de testing. Desarrollo interno, trato y coordinación co ...","montevideo",2018-12-11 20:23:07
"VENDEDOR CORPORATIVO","Empresa de Producots y Servicios","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas "," Seleccionamos para destacada empresa internacional, dedicada a la fabricación, importación y representación de productos y sistemas profesionales para la  ...","montevideo",2018-12-11 20:23:07
"ASESORES COMERCIALES PARA CIUDAD DE LA COSTA","SECURITAS","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","  Nos abocamos a la búsqueda de personas con experiencia en la comercialización de SISTEMAS DE SEGURIDAD, proactivas, dinámicas y con solida orientación a ...","montevideo",2018-12-11 20:23:07
"SUPERVISOR COMERCIAL REGIONAL OESTE","SECURITAS","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas "," Te invitamos a participar del proceso de selección para formar parte de nuestro equipo de más de 3.100 personas en todo el Uruguay. Nos abocamos a la búsq ...","montevideo",2018-12-11 20:23:07
"ASESORES COMERCIALES PARA PAYSANDÚ","SECURITAS","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","  Nos abocamos a la búsqueda de personas con experiencia en la comercialización de SISTEMAS DE SEGURIDAD, proactivas, dinámicas y con solida orientación a ...","montevideo",2018-12-11 20:23:07
"OPERADOR PARA CONTACT CENTER","PROSEGUR","Auxiliar","Teleoperadores - Call Center","Hace 2 semanas "," Requisitos:  Contar con ciclo básico completo, buen manejo de Excel, conocimientos técnicos en alarmas, disponibilidad horaria para trabajar de 15 a 23  ...","montevideo",2018-12-11 20:23:07
"ASESORES COMERCIALES PARA COLONIA","SECURITAS","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","  Nos abocamos a la búsqueda de personas con experiencia en la comercialización de SISTEMAS DE SEGURIDAD, proactivas, dinámicas y con solida orientación a ...","montevideo",2018-12-11 20:23:07
"ASESORES COMERCIALES PARA MALDONADO","SECURITAS","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","  Nos abocamos a la búsqueda de personas con experiencia en la comercialización de SISTEMAS DE SEGURIDAD, proactivas, dinámicas y con solida orientación a ...","montevideo",2018-12-11 20:23:07
"LABORATORIO FARMACEUTICO SELECCIONA","LABORATORIO FARMACEUTICO","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas "," JEFE DE LOGÍSTICA (Referencia 1)  Orientamos la búsqueda hacia jóvenes con un nivel de estudios terciario en áreas vinculadas a la Logística, una experi ...","montevideo",2018-12-11 20:23:07
"EMBALADOR","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 semana ","Se busca personal para deposito de embalador, Femenino. Edad mayor de 20 años. •	Puntualidad •	Activo •	Buena relación con sus pares Se busca personal para ...","montevideo",2018-12-11 20:23:07
"OFICIAL TECNICO","AUREN","Técnico / Especialista","Comercio Exterior","Hace 1 semana ","Auren Capital Humano selecciona para reconocido despachante de aduana un Oficial Técnico.  La búsqueda se orienta a personas con formación en comercio ext ...","montevideo",2018-12-11 20:23:07
"AUXILIAR ADMINISTRATIVO  ESTUDIANTE FAC. CIENCIAS ECONÓMICAS, EDA, UTU.","Ferreteria Ferreservi","Auxiliar","Administración - Secretariado","Hace 1 semana ","- Ingreso de facturas de compra. - Conciliación de cuentas bancarias. -Preparación de documentación para vendedores. -Seguimiento de cuentas corrientes y p ...","montevideo",2018-12-11 20:23:07
"ADMISTRATIVO","IMPRENTA","Auxiliar","Administración - Secretariado","Hace 1 semana ","Con conocimientos comprobables de contabilidad. Caja, facturación, administración en general. SE VALORARÁ EXPERIENCIA EN EL RUBRO GRÁFICO Administrativa/o  ...","montevideo",2018-12-11 20:23:07
"VIRTUAL ASSISTANT","Miapartamentos","Supervisor / Encargado","Administración - Secretariado","Hace 1 semana ","PART TIME Virtual Administrative Assistant Wanted. We are a fast-growing vacation rental company looking for motivated individuals. You will be able to wor ...","montevideo",2018-12-11 20:23:07
"AUXILIAR DE LIMPIEZA","Importante empresa","Auxiliar","Servicios - Oficios","Hace 1 semana ","Buscamos una persona dinámica, con vocación de servicio, discreta, con buena disposición y buena presencia, para encargarse de la limpieza general de nuest ...","montevideo",2018-12-11 20:23:07
"PEON PRACTICO PARA ZAFRA EN PLANTA DE RESIDUOS SOLIDOS INDUSTRIALES(LEER LAS TAREAS A DESARROLLAR)","Planta Procesamiento Residuos Solidos","Peon","Producción","Hace 1 semana ","Para Sitio de Disposición Final de Residuos Sólidos Industriales pionero en Uruguay, seleccionamos: Peon Practico para Planta Descripción: El cargo asiste  ...","montevideo",2018-12-11 20:23:07
"ADMINISTRATIVO CONTABLE","AUREN","Asistente","Finanzas - Contabilidad - Auditoria","Hace 1 semana ","Auren Capital Humano selecciona para reconocida empresa uruguaya del rubro alimenticio ubicada en Aguada Administrativo Contable.    Orientamos nuestra bú ...","montevideo",2018-12-11 20:23:07
"JEFE ADMINISTRACIÓN","Importante empresa","Profesional","Finanzas - Contabilidad - Auditoria","Hace 1 semana ","Controles de caja, pago a proveedores, conciliaciones bancarias, declaraciones juradas a DGI, balances, flujo de fondos, etc. Todo lo concerniente a la ges ...","montevideo",2018-12-11 20:23:07
"DISEÑADOR JR.","Importante Empresa","Analista","Arte - Diseño - Comunicación","Hace 1 semana ","Integrante del área de diseño en la empresa. Deberá realizar los diseños que se le soliciten, generar nuevos productos, diagramar campañas de publicidad, c ...","montevideo",2018-12-11 20:23:07
"AUXILIAR DE VENTAS EN MOSTRADOR DE CONFITERIA","Confiteria","Auxiliar","Atención al cliente","Hace 1 semana ","Seleccionamos auxiliar de ventas para mostrador para una confitería. HORARIO LUNES A VIERNES 13 A 21 Y SÁBADOS 11:30 A 15:30 HS ZONA CORDON Buscamos pers ...","montevideo",2018-12-11 20:23:07
"VENDEDOR POR FAN-PAGE","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","Buscamos jóvenes para incorporar a nuestro equipo de trabajo, que tengan buena presencia, sociables y con una excelente actitud. Al ingresar se capacitara ...","montevideo",2018-12-11 20:23:07
"VETERINARIO","PET PLANET SRL-","Profesional","Agroindustria","Hace 1 semana ","debera atender la clinica y publico en general en una veterinaria de gran porte cargo de medico veterinario","montevideo",2018-12-11 20:23:07
"AUXILIAR ADMINISTRATIVO AUTOMOTORA","CONCESIONARIO DE AUTOMOVILES","Auxiliar","Administración - Secretariado","Hace 1 semana ","CAJA Y REGISTRACION Y FACTURACION PREPARACION Y PAGO A PROVEEDORES COTIZACIONES CONTROL DE LA DOCUMENTACION DE VEHICULOS GENERACIÓN PEDIDOS Experiencia: en ...","montevideo",2018-12-11 20:23:07
"MANAGER OF LEAD MANAGEMENT & QUALITY CHECK","Para PedidosYa","Jefe","Ventas - Comercial","Hace 2 semanas ","¿Quieres el desafío? La posición implica definir e implementar la estrategia de desarrollo y optimización de los procesos de trabajo de Lead Research y Qu ...","montevideo",2018-12-11 20:23:07
"VENTAS","Asociado independiente","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Emprendedor Ventas y Reclutamiento","montevideo",2018-12-11 20:23:07
"VENDEDORA ","LA ESQUINA","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Venta por mayor y menor al publico. venta al publico,armado de pedidos","montevideo",2018-12-11 20:23:07
"MOZO CHIVITERÍA VESPERTINO CARRASCO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","Nos orientamos a la búsqueda de personas responsables, proactivas, con marcado perfil orientado al cliente y que vivan en la zona.  Para chivitería de esta ...","montevideo",2018-12-11 20:23:07
"CADETE CON MOTO PROPIA","Gestion Post","Auxiliar","Cadetería - Cobranzas","Hace 2 semanas ","Se necesita cadete con moto propia con buen manejo de calles, experiencia en depósitos cobranzas y trámites. Persona dinámica y con buena presencia. Sea pu ...","montevideo",2018-12-11 20:23:07
