"empresa","area","n_puestos","jornada","detalles","subareas","requisitos","ID","fecha_pub","puesto","fecha_scraping","h_pub","dia_pub","barrio_ciudad","dpto"
"(Confidencial)","Auxiliar Administrativo",1,"Completa","Requisitos excluyentes:•	Bachillerato culminado•	Experiencia  laboral  comprobable  en tareas de cadetería ante organismos públicos, privados, bancos, etc.•	Muy buena presencia.•	Amplia disponibilidad horariaCompetencias técnicas:•	Dominio de herramientas informáticas, paquete office, Outlook, Internet.Se valorará:•	Estudios terciarios•	Excel avanzado•	Idioma portuguésCompetencias de gestión:•	Excelente comunicación interpersonal para trabajar con público de nivel educativo terciario.•	Capacidad para trabajar en equipo.•	Ordenado, metódico en su trabajo.•	Adaptabilidad y flexibilidad.•	Iniciativa, dinamismo, compromiso y responsabilidad•	Orientación a resultados.","Administración – Secretariado / Auxiliar Administrativo
										Cadetería - Cobranzas / Cadete
										Cadetería - Cobranzas / Gestión de Trámites
										Atención al Cliente / Atención al Cliente
								","
					
						
							
							
							Conocimientos: 
							
								Sistema operativo Windows
										Gestión de Trámites
								Idiomas: 
							
							Portugués
							Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 22 Hasta 35 Años
								Sexo: Masculino
						

						
					
					
				","www.buscojobs.com.uy/cadete-auxiliar-administrativo-ID-170701",2019-07-09,"Cadete - Auxiliar Administrativo",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"Montevideo COMM","Auxiliar Administrativo",1,"Medio turno mañana","Buscamos Cadete CON MOTO (Imprescindible).Seleccionamos cadete para tareas a realizar dentro de Montevideo y zona metropolitana. Se espera contratar una persona con actitud positiva, dinámica y con buena presencia.Detallar modelo de la moto y año.Detallar vigencia y tipo de licencia de conducir. Se valorará licencia vigente para automóviles.","Administración – Secretariado / Auxiliar Administrativo
										Administración – Secretariado / Facturación / Cobros / Pagos
										Administración – Secretariado / Administración Contable y Financiera
										Cadetería - Cobranzas / Cadete
										Cadetería - Cobranzas / Cobrador
										Cadetería - Cobranzas / Gestión de Trámites
										Distribución – Logística – Almacenamiento / Distribución / Logística / Abastecimiento
										Distribución – Logística – Almacenamiento / Transporte / Carga
										Oficios – Servicios Varios / Chofer Automóviles
										Oficios – Servicios Varios / Delivery
										Oficios – Servicios Varios / Distribuidor de Mercadería
										Oficios – Servicios Varios / Mecánica de Motos
										Cadetería - Cobranzas / Delivery
								","
					
						
							
							
							Conocimientos: 
							
								Cadetería y/o cobranza
								Estudio Mínimo Necesario: Ciclo Básico Completo
							Edad: Desde 18 Hasta 23 Años
						

						
					
					
				","www.buscojobs.com.uy/cadete-con-moto-ID-171060",2019-07-25,"Cadete con Moto",2019-08-08 01:48:07,"01:48:07","jueves","montevideo","montevideo"
"Possum Gestion de Capital Humano","Almacén / Depósito / Stock",2,"Completa","Seleccionamos para empresa líder en su rubro un Cadete de  deposito Objetivo de la posición:Ordenar mercadería en depositoRetirar y entregar mercadería en clientes y / o proveedoresManejar códigos numéricosRequisitos:Secundaria o equivalente completoFacilidad para manejar códigos Deseable experiencia en repuestos  Experiencia en tareas de deposito mínimo dos añosSe ofrece Integrarse a un equipo de trabajo consolidado en el mercado.-Se trabaja de lunes a viernes jornada completa, y sábados medio día.","Distribución – Logística – Almacenamiento / Almacén / Depósito / Stock
										Distribución – Logística – Almacenamiento / Distribución / Logística / Abastecimiento
										Distribución – Logística – Almacenamiento / Transporte / Carga
								","
					
						
							
							
							Conocimientos: 
							
								Venta automotriz
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				","www.buscojobs.com.uy/cadete-para-deposito-ID-171019",2019-07-24,"Cadete para deposito",2019-08-08 01:48:07,"01:48:07","miercoles","montevideo","montevideo"
"(Confidencial)","Cadete",1,"Completa","La persona Orientamos la búsqueda a personas proactivas, ordenadas, orientadas al cliente, con deseos de superación profesional y excelente relacionamiento interpersonal.Requisitos excluyentesQuienes se postulen deben acreditar:•	Libreta de Conducir moto- De lo contrario no envíe Curriculum vitae•	Experiencia no menor a un año (actual o reciente) en Despachante de Aduanas o Empresas relacionadas al rubroLas ResponsabilidadesQuien resulte seleccionado realizará:?	Entrega y retiro de documentos: clientes, Bancos, Organismos Públicos?	Tramites en Agencias Marítimas, aéreas y Aduanas?	Efectuar: depósitos y retiros en Bancos, pagos en instituciones oficiales, entre otras.?	Diversas tareas de oficina, entre otras.La PropuestaIntegrarse al equipo profesional de una empresa consolidada, que ofrece entre otras cosas, estabilidad laboral, oportunidades de crecimiento y un excelente ambiente de trabajo.Jornada laboral de lunes a viernes de 09:00 a 18:00.","Cadetería - Cobranzas / Cadete
										Cadetería - Cobranzas / Gestión de Trámites
								","
					
						
							
							
							Conocimientos: 
							
								Cadetería y/o cobranza
										Gestión de Trámites
										Aduana
								Estudio Mínimo Necesario: Terciario Completo
							Edad: Desde 23 Hasta 34 Años
								Sexo: Masculino
						

						
					
					
				","www.buscojobs.com.uy/cadete-para-despachante-de-aduanas-ID-170509",2019-07-09,"CADETE PARA DESPACHANTE DE ADUANAS",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"(Confidencial)","Cadete",2,"Completa","Seleccionamos para MGAPCadeteLa PersonaBuscamos personas que posean bachillerato finalizado, que puedan presentar escolaridad al momento de la postulación. Con experiencia en gestión de trámites y tareas administrativas. Será valorada la experiencia previa en entes públicos, especialmente en Ministerio. La Tarea:Gestión de tramites ante diferentes secciones del entes y otras oficinas publicas.  Competencias deseables: Excelente relacionamiento interpersonal Planificación y Organización ResponsabilidadCompromisoSeriedadHorario de lunes a viernes de 8 a 18h. Remuneración: $24.901","Cadetería - Cobranzas / Cadete
										Cadetería - Cobranzas / Gestión de Trámites
								","
					
						
							
							
							Conocimientos: 
							
								Cadetería y/o cobranza
								Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 18 Hasta 60 Años
						

						
					
					
				","www.buscojobs.com.uy/cadete-para-ente-publico-ID-170786",2019-07-16,"CADETE PARA ENTE PÚBLICO",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"(Confidencial)","Almacén / Depósito / Stock",1,"Completa","CADETE CON CONOCIMIENTO DE REPUESTOS DE AUTOS","Distribución – Logística – Almacenamiento / Almacén / Depósito / Stock
								","
					
						
							
							
							Conocimientos: 
							
								Logística y almacén
										Distribución, logística, depósito.
								Estudio Mínimo Necesario: Secundaria Completa
								Sexo: Masculino
						

						
					
					
				","www.buscojobs.com.uy/cadete-peon-logistica-nocturno-ID-170729",2019-07-15,"CADETE PEON LOGISTICA NOCTURNO",2019-08-08 01:48:07,"01:48:07","lunes","montevideo","montevideo"
"(Confidencial)","Cadete",1,"Completa","Cadete repartidor, libreta de conducir categoría A (excluyente) mínimo 3 años. Se valorara conocimientos en comercio exterior e ingles. Buena presencia, disponibilidad horaria y ganas de progresar a futuro. Excluyente experiencia laboral previa","Cadetería - Cobranzas / Cadete
								","
					
						
							
							
							Conocimientos: 
							
								Chofer de Automóviles
										Comercio Internacional
								Idiomas: 
							
							Inglés
							Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 23 Hasta 26 Años
						

						
					
					
				","www.buscojobs.com.uy/cadete-repartidor-con-libreta-conducir-cat-a-ID-171372",2019-08-05,"CADETE REPARTIDOR CON LIBRETA CONDUCIR CAT. A",2019-08-08 01:48:07,"01:48:07","lunes","montevideo","montevideo"
"ARNALDO C. CASTRO.","Hardware / Reparación PC",1,"Completa","Cadete Técnico Orientamos nuestra búsqueda a jóvenes estudiantes entre 18 y 25 años con dinamismo y actitud proactiva.Se requiere:Bachillerato Tecnológico en curso o egresado.Muy buena comunicación y relacionamiento.Responsable y ordenadoBuena presenciaResponsabilidades:Entrega y recepción de equipamiento. TrámitesManejo de archivo Tareas administrativasSe valorará: Experiencia previa en tareas similares.Se ofrece:Una muy buena oportunidad de integrarse a una empresa líder, con un equipo humano altamente capacitado, un excelente ambiente laboral. Salario acorde y una excelente oportunidad de desarrollo personal y crecimiento profesional.","Tecnologías de la Información / Hardware / Reparación PC
										Tecnologías de la Información / HelpDesk / Soporte Técnico
										Tecnologías de la Información / Operador Internet / Operador PC
										Tecnologías de la Información / Sistemas Operativos
								","
					
						
							
							
							Conocimientos: 
							
								Tecnología e Innovación
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 18 Hasta 25 Años
						

						
					
					
				","www.buscojobs.com.uy/cadete-tecnico-ID-170628",2019-07-09,"Cadete Técnico",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"Advice","Administración de Empresas",NA,"Completa","Seleccionamos para la Caja de Auxilio de Funcionarios del CASMU.Buscamos:Profesionales egresados de la carrera de Contador Público. Experiencia en manejo de  Memory (Conty y Worky)Experiencia en manejo de aplicaciones de DGI  (Sigma) y BPS (Atyro).Buen manejo de herramientas informáticas (Paquete Office).Deberán contar con al menos 3 años de experiencia en posiciones similares en empresas de mediano porte. Objetivos de la posición:Será responsable de la contabilidad, registraciones, análisis de cuentas y cierre del balance anual. Brindará apoyo a la Jefatura de Finanzas y Administración en la operativa del área en materia contable- administrativa, con un equipo a su cargo. Brindará apoyo en los lineamientos a solicitar al programador, sobre el sistema de gestión de la empresa (cálculos financieros y reportes a emitir).Presentará  reportes al Consejo DirectivoLlevará adelante la liquidación de salarios.Brindará soporte en el análisis de las inversiones y rentabilidadAnalizará la cartera de morosos y reportará posibles desvíos.","Administración – Secretariado / Administración de Empresas
										Administración – Secretariado / Auxiliar Administrativo
										Administración – Secretariado / Dirección / Gerencia
										Administración – Secretariado / Facturación / Cobros / Pagos
										Administración – Secretariado / Administración Contable y Financiera
										Administración – Secretariado / Gestión de Operaciones
										Administración – Secretariado / Impuestos
										Administración – Secretariado / Liquidación de Sueldos
										Contabilidad – Auditoría – Finanzas / Auditoría
										Contabilidad – Auditoría – Finanzas / Contaduría
										Contabilidad – Auditoría – Finanzas / Economía
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
										Auditoría bancaria y contable
										Finanzas corporativas
										Administración
										Auxiliar Contable
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				","www.buscojobs.com.uy/cafuca-contador-ID-171124",2019-07-27,"CAFUCA: Contador",2019-08-08 01:48:07,"01:48:07","sabado","montevideo","montevideo"
"Adecco","Caja",NA,"Completa","Estamos buscando Cajera para incorporarse a reconocida en empresa nacional-	La búsqueda se orienta a jóvenes chicas con buena presencia excelentes habilidades de comunicacionalesPrincipales Responsabilidades: -	Atención al Cliente-	Gestión de Ventas -	Cobranza-	Arqueos de cajaLos requisitos son:-	Disponibilidad para trabajar en horario de Shopping -	Domino de Herramientas Office -	Experiencia previa minima 1 año en cargos similares-	Excluyente referencias comprobables.Se ofrece la posibilidad de integrarse a solida y reconocida empresa que ofrece muy buen clima de trabajo y estabilidad laboral.¡TRANSFORMÁ TU TALENTO EN EXPERIENCIA!APOSTÁ AL CAMBIO, NOSOTROS APOSTAMOS POR VOSEl compromiso de Adecco, es promover y mantener la cultura del respeto e igualdad de oportunidades. No discriminamos en función del género, religión, etnia, nacionalidad, cultura, grupo social, discapacidad o enfermedad, orientación sexual, estado civil, edad u opinión política. Cuando elegimos el personal para un cliente, la decisión se basa única y exclusivamente en los méritos y capacidades de esa persona.","Atención al Cliente / Caja
								","
					
						
							
							
							Conocimientos: 
							
								Caja y/o Facturación
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				","www.buscojobs.com.uy/cajera-ID-170758",2019-07-16,"Cajera",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"Global Exchange","Atención al Cliente",1,"Completa","Buscamos personas apasionadas por las ventas, para formar parte de nuestro equipo. Si tienes secundaria completa y manejas inglés,¡súmate a trabajar con nosotros!El lugar de trabajo será en nuestra oficina de cambio de moneda ubicada en el puerto de Montevideo.El la jornada laboral es de 8hs en horario de 08.00 a 12.00 y de 16.00 a 20.00Los días libres son rotativos, 2 libres cada 4 de trabajo.“¿Eres una persona proactiva a quien le gusta hacer las cosas bien a la primera?¿Te apasionan las ventas?¿Sientes verdadera obsesión por un excelente trato al cliente?¿Hablas inglés, u otros idiomas?¿Quieres trabajar en una empresa que apueste por tu desarrollo y te ayude a llegar muy lejos?Si has contestado con un SÍ en todas ellas, entonces te buscamos a TI. Seleccionamos a los mejores profesionales en el sector de cambio de moneda, buscamos personas con iniciativa, rigurosas en su trabajo, con pasión por el trato al cliente y por ofrecerle los productos y servicios que más se ajusten a sus necesidades.¿Quiénes somos?Somos una multinacional con más de 21 años de experiencia. Desde nuestra creación no hemos parado de crecer hasta convertirnos en la tercera empresa más importante del sector de cambio de moneda. Nos apasiona lo que hacemos y el cliente es el centro de nuestro negocio.¿Qué te ofrecemos?Desarrollar tu carrera en un entorno internacional y con posibilidades reales de desarrollar tu carrera fuera del país.Formar parte de una empresa en constante crecimiento e innovación, con tecnologías punteras y preocupadas por el desarrollo de nuestro capital humano.La posibilidad de utilizar los idiomas que conozcas de forma continuada.Un ambiente agradable, donde el trabajo en equipo es fundamental.Un trabajo orientado a los resultados y la consecución continúa de objetivos.Formación continua que contribuirá al desarrollo de tus habilidades y conocimientos en la venta de servicios y productos de nuestro sector.¿Cómo será tu día a día como Cajero con nosotros?Asesoramiento directo y personalizado al ClienteVenta de nuestros productos y servicios de acuerdo a las necesidades de nuestros Clientes en el puerto de Montevideo.Registrar las operaciones en el sistema de acuerdo a las políticas y procedimientos operativos para asegurar la calidad y la legislación vigente.","Atención al Cliente / Atención al Cliente
										Comercio – Mercadeo – Ventas / Venta de Servicios
								","
					
						
							
							
							Conocimientos: 
							
								Venta de servicios
										Atención al Cliente
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				","www.buscojobs.com.uy/cajero-cambio-de-moneda-ID-171046",2019-07-25,"CAJERO CAMBIO DE MONEDA",2019-08-08 01:48:07,"01:48:07","jueves","montevideo","montevideo"
"KINKO","Caja",10,"Completa","Nuestra búsqueda se orienta a aquellos que cuenten con experiencia en el sector de panadería (excluyente) y busquen crecer profesionalmente.Las principales tareas serán el horneado de bizcochos y panes, atención en el sector de panadería y fiambrería, orden y limpieza del salón y depósito, reposición, caja, entre otras. La persona deberá tener capacidad de trabajo en equipo, dinamismo y flexibilidad.Contamos con vacantes de 4 u 8 horas.Se ofrece sumarse a una Empresa en pleno crecimiento que apuesta al desarrollo de sus equipos.","Supermercados – Autoservices / Caja
										Supermercados – Autoservices / Reposición de Mercaderia
										Supermercados – Autoservices / Panadería
								","
					
						
							
							
							Conocimientos: 
							
								Panadería, confitería y afines
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 18 Hasta 25 Años
						

						
					
					
				","www.buscojobs.com.uy/cajero-reponedor-con-experiencia-en-panaderia-ID-171462",2019-08-07,"Cajero reponedor con experiencia en Panadería",2019-08-08 01:48:07,"08:48:07","miercoles","montevideo","montevideo"
"(Confidencial)","Comercial / Ventas",1,"Medio turno tarde","Nos encontramos en búsqueda de jóvenes proactivos, con vocación y experiencia en atención al cliente y facturación, para incorporar a nuestra empresa. Misión del cargo:Respaldar la visión de la compañía a través de la venta, la facturación, las prácticas operativas, el trabajo en equipo y un excelente servicio de atención al cliente.Responsabilidades:Cumplir con todas las responsabilidades y asignaciones del programa de Cajas, conjuntamente a las responsabilidades y tareas de piso de venta.Brindar una excelente atención al cliente y experiencia de compra.Trabajar de forma directa y entusiasta con el resto del equipo así como con la gerencia y clientes.Colaborar con otros cajeros-vendedores para maximizar las ventas y mejorar el desempeño del equipo.Generar un ambiente de trabajo ameno y gratificante para todo el personal.RequisitosGusto por la Atención al PúblicoExperiencia en venta y cajasProactividadOptimismoTrabajo en equipoBuena comunicación y EmpatíaBuena PresenciaFlexibilidad para respetar horariosMuchas ganas de formar parte de nuestro equipo!","Comercio – Mercadeo – Ventas / Comercial / Ventas
										Comercio – Mercadeo – Ventas / Venta de Indumentaria
								","
					
						
							
							
							Conocimientos: 
							
								Caja y/o Facturación
										Venta al por Menor
										Atención al Cliente
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 21 Hasta 30 Años
						

						
					
					
				","www.buscojobs.com.uy/cajero-vendedor-ID-171421",2019-08-06,"Cajero-Vendedor",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"Global Exchange","Atención al Cliente",3,"Completa","Buscamos personas apasionadas por las ventas, para formar parte de nuestro equipo. Si tenes secundaria completa y hablas inglés, ¡súmate a trabajar con nosotros!Turno Mañana 6 a 14 hsTurno Tarde 14 a 22 hsTurno Noche 22 a 06 hs.Descanso: 2 días libres cada 4 de trabajo.“¿Eres una persona proactiva a quien le gusta hacer las cosas bien a la primera?¿Te apasionan las ventas?¿Sientes verdadera obsesión por un excelente trato al cliente?¿Hablas inglés, u otros idiomas?¿Quieres trabajar en una empresa que apueste por tu desarrollo y te ayude a llegar muy lejos?Si has contestado con un SÍ en todas ellas, entonces te buscamos a TI. Seleccionamos a los mejores profesionales en el sector de cambio de moneda, buscamos personas con iniciativa, rigurosas en su trabajo, con pasión por el trato al cliente y por ofrecerle los productos y servicios que más se ajusten a sus necesidades.¿Quiénes somos?Somos una multinacional con más de 21 años de experiencia. Desde nuestra creación no hemos parado de crecer hasta convertirnos en la tercera empresa más importante del sector de cambio de moneda. Nos apasiona lo que hacemos y el cliente es el centro de nuestro negocio.¿Qué te ofrecemos?Desarrollar tu carrera en un entorno internacional y con posibilidades reales de desarrollar tu carrera de forma internacional.Formar parte de una empresa en constante crecimiento e innovación, con tecnologías punteras y preocupadas por el desarrollo de nuestro capital humano.La posibilidad de utilizar los idiomas que conozcas de forma continuada.Un ambiente agradable, donde el trabajo en equipo es fundamental.Un trabajo orientado a los resultados y la consecución continúa de objetivos.Formación continua que contribuirá al desarrollo de tus habilidades y conocimientos en la venta de servicios y productos de nuestro sector.¿Cómo será tu día a día como Cajero con nosotros?Asesoramiento directo y personalizado al ClienteVenta de nuestros productos y servicios de acuerdo a las necesidades de nuestros Clientes en el aeropuerto.Registrar las operaciones en el sistema de acuerdo a las políticas y procedimientos operativos para asegurar la calidad y la legislación vigente.","Atención al Cliente / Atención al Cliente
										Comercio – Mercadeo – Ventas / Venta de Servicios
								","
					
						
							
							
							Conocimientos: 
							
								Venta de servicios
										Atención al Cliente
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				","www.buscojobs.com.uy/cajeros-cambio-de-moneda-ID-171002",2019-07-24,"CAJEROS CAMBIO DE MONEDA",2019-08-08 01:48:07,"01:48:07","miercoles","montevideo","montevideo"
"(Confidencial)","Electrónica",2,"Indiferente","Será parte del equipo técnico de desarrollo de la empresa. Reparará equipos de GPS y otros, realizará tareas de  armado y soporte técnico, así como la instalación de los mismos.  Libreta de conducir.","Oficios – Servicios Varios / Electrónica
										Tecnologías de la Información / Telecomunicaciones
								","
					
						
							
							
							Conocimientos: 
							
								Electricidad automotriz
										Electrónica
								Idiomas: 
							
							Inglés
							Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				","www.buscojobs.com.uy/cargo-tecnico-ID-170901",2019-07-21,"Cargo Técnico",2019-08-08 01:48:07,"01:48:07","domingo","montevideo","montevideo"
"(Confidencial)","Carnicería",1,"Completa","Realizar cortes de las distintas carnes y aves.Mantener en orden y buen estado de limpieza, las herramientas y el área de trabajo.Atención al público Se requiere conocimiento del rubro y previa experiencia laboral (no menor a 1 año)","Supermercados – Autoservices / Carnicería
								","
					
						
							
							
							Conocimientos: 
							
								Carnicería 
								Estudio Mínimo Necesario: Ciclo Básico Completo
							Edad: Desde 22 Hasta 55 Años
						

						
					
					
				","www.buscojobs.com.uy/carnicerosas-maldonado-ID-170705",2019-07-09,"Carniceros/as Maldonado",2019-08-08 01:48:07,"01:48:07","martes","maldonado","maldonado"
"Advice","Compras / Proveedores",NA,"Indiferente","Central Lanera nace el 17 de Setiembre de 1967 a impulso de las cooperativas Unión Rural de Flores y de El Fogón de Sarandí del Yí con el apoyo del Centro Cooperativista Uruguayo.Estudiantes o egresados de carreras técnicas, cursos o carreras universitarias vinculadas a Comercio Exterior.Deberán contar con manejo de inglés a nivel FCE.Será necesario poseer como mínimo un año de experiencia en posiciones similares.Tendrá a su cargo brindar la atención de post venta a clientes, manteniéndolos informados sobre el estado de los embarques y atenderá a otras solicitudes del cliente.Ingresará el detalle de la venta en el sistema.Solicitará aprobación de etiquetas al cliente.Coordinará con logística y Producción el embarque de las cargas.Coordinará cuotas, licencias y demás particularidades de cada mercadoVerificará pagos y prepagos.Recibirá las instrucciones de embarque del cliente y notificará al equipo de trabajo y demás departamentos involucrados los detalles como etiquetas, instrucciones sobre cargue y restricciones de navieras.Realizará toda la documentación referente a importaciones e importaciones.Realizará, ocasionalmente, tareas secretariales.","Distribución – Logística – Almacenamiento / Compras / Proveedores
										Distribución – Logística – Almacenamiento / Distribución / Logística / Abastecimiento
										Distribución – Logística – Almacenamiento / Transporte / Carga
								","
					
						
							
							
							Conocimientos: 
							
								Comercio Internacional
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				","www.buscojobs.com.uy/central-lanera-uruguaya-auxiliar-de-comercio-exterior-ID-170707",2019-07-09,"CENTRAL LANERA URUGUAYA: Auxiliar de Comercio Exterior",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"SAPP S.A.","Chofer Automóviles",NA,"Indiferente","Importante Servicio de Emergencia Móvil Pre Hospitalario de Canelones llama:Chofer.Para realizar GUARDIAS, Sector costa de Oro,  Barros Blancos - Sector sector de Toledo.* Se valorará experiencia previa en servicios de emergencia.* Libreta de conducir ( ambulancia - automóvil )","Oficios – Servicios Varios / Chofer Automóviles
										Oficios – Servicios Varios / Chofer Camiones
										Oficios – Servicios Varios / Chofer Camionetas
										Oficios – Servicios Varios / Chofer Maquinaria
										Oficios – Servicios Varios / Chofer Ómnibus
										Mantenimiento General / Mantenimiento General
								","
					
						
							
							
							Conocimientos: 
							
								Chofer de Automóviles
										Chofer de Camionetas
								Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 26 Hasta 45 Años
								Sexo: Masculino
						

						
					
					
				","www.buscojobs.com.uy/chofer-ID-171149",2019-07-29,"CHOFER",2019-08-08 01:48:07,"01:48:07","lunes","canelones","canelones"
"Adecco","Chofer Camiones",NA,"Completa","Adecco se encuentra en la búsqueda para empresa cliente líder en su rubro, Chofer para  integrar equipo de trabajo.Las tareas que deberá lleva a cabo son:- Conducción de los vehículos de la empresa.- Control de la mercadería que se va a trasladar.- Carga y descarga de la mercadería.- Reparto y entrega de mercadería.- Chequeo general de las condiciones del vehículo.Requisitos:-- Licencia de conducir categoría C o superior.- Secundaria- Disponibilidad horaria- Experiencia en posiciones afines o tareas similares mayor a un año.- Capacidad para trabajar en equipo¡TRANSFORMÁ TU TALENTO EN EXPERIENCIA! APOSTÁ AL CAMBIO, NOSOTROS APOSTAMOS POR VOS El compromiso de Adecco, es promover y mantener la cultura del respeto e igualdad de oportunidades. No discriminamos en función del género, religión, etnia, nacionalidad, cultura, grupo social, discapacidad o enfermedad, orientación sexual, estado civil, edad u opinión política. Cuando elegimos el personal para un cliente, la decisión se basa única y exclusivamente en los méritos y capacidades de esa persona","Oficios – Servicios Varios / Chofer Camiones
								","
					
						
							
							
							Conocimientos: 
							
								Chofer de Camiones
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				","www.buscojobs.com.uy/chofer-ID-171194",2019-07-30,"Chofer",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"Logistica Transnacional","Cadete",1,"Completa","Empresa de logística busca un chofer de moto para repartir sobres y paquetes en Montevideo. Deber tener la libreta de moto al día y haber tenido experiencia en la realización de tareas similares. *La moto de referencia es un Honda 125cc.","Cadetería - Cobranzas / Cadete
										Oficios – Servicios Varios / Chofer Camionetas
										Oficios – Servicios Varios / Distribuidor de Mercadería
										Cadetería - Cobranzas / Delivery
								","
					
						
							
							
							Conocimientos: 
							
								Cadetería y/o cobranza
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				","www.buscojobs.com.uy/chofer-de-moto-ID-171292",2019-08-05,"Chofer de Moto",2019-08-08 01:48:07,"01:48:07","lunes","montevideo","montevideo"
"(Confidencial)","Almacén / Depósito / Stock",1,"Completa","LIBRETA DE ELEVADORISTA","Distribución – Logística – Almacenamiento / Almacén / Depósito / Stock
								","
					
						
							
							
							Conocimientos: 
							
								Chofer de Maquinaria
								Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 18 Hasta 45 Años
								Sexo: Masculino
						

						
					
					
				","www.buscojobs.com.uy/chofer-elevador-ID-171392",2019-08-06,"CHOFER ELEVADOR",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
"Gestión Humana S.R.L","Almacén / Depósito / Stock",1,"Completa","Chófer para manejar camioneta de dos ejes, con libreta profesional, para entregas de artículos de papelería.Es imprescindible el conocimiento de calles de Montevideo, de las distintas zonas. Persona responsable, con buena actitud y buenas comunicación, con clientes y compañeros trabajo.Es muy importante la actitud y aptitud de trabajo","Distribución – Logística – Almacenamiento / Almacén / Depósito / Stock
								","
					
						
							
							
							Conocimientos: 
							
								Caja y/o Facturación
										Atención al Cliente
										Distribución, logística, depósito.
										Transporte de Mercancías
								Estudio Mínimo Necesario: Ciclo Básico Completo
							Edad: Desde 25 Hasta 35 Años
								Sexo: Masculino
						

						
					
					
				","www.buscojobs.com.uy/chofer-para-expedicion-con-libreta-profesional-ID-171439",2019-08-07,"Chofer para expedición, con libreta profesional",2019-08-08 01:48:07,"01:48:07","miercoles","montevideo","montevideo"
"WELAMAN SA","Transporte / Carga",1,"Completa","CHÓFER REPARTIDOR , CARGA Y DESCARGA DE MUEBLES., INDISPENSABLE TENER LIBRETA B EN ADELANTE,","Distribución – Logística – Almacenamiento / Transporte / Carga
								","
					
						
							
							
							Conocimientos: 
							
								Chofer de Camionetas
								Estudio Mínimo Necesario: Ciclo Básico Completo
							Edad: Desde 25 Hasta 50 Años
								Sexo: Masculino
						

						
					
					
				","www.buscojobs.com.uy/chofer-para-reparto-en-camioneta-ID-171016",2019-07-24,"CHOFER PARA REPARTO EN CAMIONETA",2019-08-08 01:48:07,"01:48:07","miercoles","montevideo","montevideo"
"Stadium Calzados","Chofer Camiones",NA,"Completa","Somos una empresa líder en su rubro en nuestro país, buscamos integrar a nuestro equipo de trabajo un chofer profesional.Las tareas que deberá lleva a cabo son:-	Conducción de los vehículos de la empresa.-	Control de la mercadería que se va a trasladar.-	Carga y descarga de la mercadería.-	Reparto y entrega de mercadería.-	Chequeo general de las condiciones del vehículo.Horario: 44hs. semanales, de lunes a sábados.Requisitos excluyentes: -	Licencia de conducir categoría C o superior.-	Experiencia en tareas similares mayor a un año.","Oficios – Servicios Varios / Chofer Camiones
										Oficios – Servicios Varios / Chofer Camionetas
								","
					
						
							
							
							Conocimientos: 
							
								Distribución, logística, depósito.
								Estudio Mínimo Necesario: Secundaria Completa
							Edad: Desde 25 Hasta 60 Años
						

						
					
					
				","www.buscojobs.com.uy/chofer-profesional-ID-171179",2019-07-30,"Chofer Profesional",2019-08-08 01:48:07,"01:48:07","martes","montevideo","montevideo"
